LP.;ID;Nazwa;Rzeka;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.
68;249190630;WITÓW;Dunajec (214);49 19 39;19 49 30;822.0
69;249190640;NOWE BYSTRE;Wielki Rogoźnik (214116);49 19 56;19 55 45;870.0
70;249190660;KOŚCIELISKO-KIRY;Kirowa Woda (214112);49 16 39;19 52 10;922.0
71;249190670;POLANA CHOCHOŁ.;Dunajec (214);49 14 13;19 47 19;1145.0
72;249190680;HALA ORNAK;Kirowa Woda (214112);49 13 45;19 51 34;1109
73;249190750;Soblówka;Woda Ujsolska (21322);49 26 15;19 08 54;702.0
74;249190770;Straconka;Biała (2114);49 47 38;19 06 26;450.0
75;249190780;Gubałówka;Biały Dunajec (21412);49 18 20;19 55 47;1123.0
76;249190790;Ratułów;Wielki Rogoźnik (214116);49 23 30;19 53 03;679.0
77;249190810;Kalwaria Zebrzydowska.;Cedron (213568);49 52 12;19 41 07;312.0
78;249190820;Koszarawa;Koszarawa (21324);49 40 20;19 24 50;671.0
79;249190830;Kościelisko-Kiry;Kirowa Woda (214112);49 16 40;19 52 15;933.0
80;249190840;Rajcza;Soła (2132);49 30 29;19 06 55;505.0
81;249190850;Rycerka Górna;Soła (2132);49 25 33;19 00 29;720.0
82;249190860;Soblówka;Woda Ujsolska (21322);49 27 24;19 08 43;620.0
83;249190870;Ślemień;Łękawica (13498);49 42 57;19 22 28;480.0
84;249190880;Wadowice;Skawa (2134);49 52 38;19 30 40;265.0
85;249190890;RADZIECHOWY ;Soła (2132);49 38 55;19 09 20;395.0
86;249190920;LIPNICA WIELKA;Czarna Orawa (8222);49 32 16;19 32 43;819.0
87;249190960;Budzów;Paleczka (2134732);49 46 26;19 39 34;342.0
88;249190970;Sidzina;Bystrzanka (21342);49 37 10;19 43 37;546.0
89;249190980;Sucha Beskidzka;Skawa (2134);49 45 14;19 36 21;324.0
90;249190990;Jordanów;Skawa (2134);49 38 35;19 50 30;534.0
91;249191020;Skawica;Skawica (21344);49 41 11;19 40 01;409.0
92;249191030;Kopytówka;Wisła (2);49 56 01;19 38 10;309.0
93;249200020;ŁAZY;Wisła (2);49 57 55;20 29 43;245.0
94;249200050;STRADOMKA;Stradomka (21388);49 55 15;20 18 33;226.0
95;249200060;Gnojnik;Uszwica (21396);49 53 43;20 35 18;310.0
96;249200070;DOBCZYCE;Raba (2138);49 52 39;20 04 14;308.0
97;249200080;Łapanów;Stradomka (21388);49 52 31;20 17 01;265.0
98;249200110;JODŁOWNIK;Stradomka (21388);49 46 15;20 13 29;384.0
99;249200120;ROZDZIELE;Stradomka (21388);49 47 07;20 24 58;627.0
100;249200130;JASTRZĘBIA;Biała (2148);49 47 11;20 53 47;288.0
101;249200140;WĘGLÓWKA;Raba (2138);49 45 01;20 04 28;512.0
102;249200180;LIMANOWA;Łososina (21472);49 41 37;20 25 06;515.0
103;249200210;PÓŁRZECZKI;Łososina (21472);49 39 09;20 12 54;650.0
104;249200220;ROZTOKA;Dunajec (214);49 38 25;20 23 00;815.0
105;249200230;GRYBÓW;Biała (2148);49 37 11;20 56 53;335.0
106;249200240;PTASZKOWA;Biała (2148);49 36 01;20 53 12;520
107;249200250;JASIONÓW;Raba (2138);49 35 23;20 01 33;742.0
108;249200260;ŁĄCKO;Dunajec (214);49 33 35;20 26 22;366.0
109;249200270;TURBACZ;Dunajec (214);49 32 41;20 07 05;1273.0
110;249200280;ŁABOWA;Kamienica (21432);49 31 34;20 51 31;455.0
111;249200290;OCHOTNICA GÓRNA;Dunajec (214);49 30 37;20 14 41;617.0
112;249200310;KOWANIEC;Dunajec (214);49 29 27;20 02 49;623.0
113;249200320;ŁOPUSZNA;Dunajec (214);49 28 27;20 07 25;570.0
114;249200330;STUDZIONKI;Dunajec (214);49 29 43;20 12 43;904.0
115;249200340;DĘBNO;Białka (214154);49 27 57;20 12 34;536.0
116;249200350;HUTA;Poprad (2142);49 27 54;20 57 24;756.0
117;249200360;MIZERNA;Dunajec (214);49 27 19;20 16 55;570.0
118;249200370;KROŚCIENKO;Dunajec (214);49 26 44;20 25 54;435.0
119;249200380;SZAFLARY;Biały Dunajec (21412);49 25 29;20 01 51;643.0
120;249200420;NIEDZICA;Niedziczanka (214172);49 25 04;20 18 57;534
121;249200440;JAWORZYNA KRYNIC.;Poprad (2142);49 25 04;20 53 43;1110.0
122;249200450;BIAŁKA TATRZAŃSKA;Białka (214154);49 24 44;20 06 26;680.0
123;249200470;KRYNICA;Poprad (2142);49 24 28;20 57 39;582.0
124;249200480;BUKOWINA;Białka (214154);49 20 15;20 05 54;902.0
125;249200490;MUSZYNA;Poprad (2142);49 20 59;20 53 11;445
126;249200530;ŁYSA POLANA;Białka (214154);49 15 49;20 06 54;970.0
127;249200540;HALA GĄSIENICOWA;Dunajec (214);49 14 38;20 00 21;1523.0
128;249200550;DOLINA 5 STAWÓW;Dunajec (214);49 12 49;20 02 52;1674.0
129;249200570;TRZEMEŚNIA;Raba (2138);49 48 45;20 00 46;347.0
130;249200910;MORSKIE OKO;Rybi Potok (2141542);49 12 04;20 04 17;1400.0
131;249200920;PIWNICZNA;Poprad (2142);49 25 30;20 43 23;380.0
132;249200930;PORONIN;Poroniec (214128);49 19 49;20 02 07;776.0
133;249200950;Szaflary;Biały Dunajec (21412);49 24 58;20 01 31;636.0
134;249200960;NOWY TARG-KOWANIEC;Dunajec (214);49 29 11;20 03 18;590.0
135;249200980;MSZANA DOLNA;Raba (2138);49 39 49;20 03 16;440.0
136;249200990;WRONOWICE;Łososina (21472);49 44 11;20 35 26;270.0
137;249201010;SIERCZA;Wilga (21372);49 58 21;20 02 02;336.0
138;249201020;Ostrowsko;Dunajec (214);49 28 48;20 05 38;568.0
139;249201030;Dobra;Łososina (214734);49 43 39;20 16 24;427.0
140;249201050;Królówka;Stradomka (21388);49 53 14;20 26 00;291.0
141;249201060;Tylmanowa;Ochotnica (2141976);49 31 05;20 23 15;404.0
142;249210010;PILZNO;Wisłoka (218);49 59 14;21 18 30;195.0
143;249210030;TUCHÓW;Biała (2148);49 54 14;21 02 51;220.0
144;249210040;ŻARNOWA;Wisłok (226);49 52 40;21 48 59;220.0
145;249210070;BIECZ-GRUDNA;Ropa (2182);49 44 07;21 17 44;285
146;249210080;JASŁO;Jasiołka (2184);49 44 08;21 29 06;228.0
147;249210090;GORLICE;Sękówka (21826);49 39 19;21 10 16;300
148;249210120;NOWY ŻMIGRÓD;Wisłoka (218);49 36 42;21 32 00;300.0
149;249210130;Zboiska;Jasiołka (2184);49 34 39;21 41 45;320.0
150;249210140;DUKLA;Jasiołka (2184);49 34 01;21 40 50;385.0
151;249210150;IWONICZ-ZDRÓJ;Lubatówka (22632);49 34 02;21 47 18;425.0
152;249210160;ORZECHÓWKA;Wisłok (226);49 43 00;21 57 41;310.0
153;249210170;BARTNE;Sękówka (21826);49 33 31;21 20 44;540.0
154;249210180;KREMPNA;Wisłoka (218);49 30 57;21 29 22;380.0
155;249210190;WISŁOCZEK;Wisłok (226);49 30 03;21 51 56;520.0
156;249210210;PUŁAWY DOLNE;Wisłok (226);49 29 24;21 54 26;395.0
157;249210220;WYSZOWADKA;Wisłoka (218);49 27 14;21 25 15;506.0
158;249210230;WYSOWA;Ropa (2182);49 26 17;21 10 21;519
159;249210240;BARWINEK;Jasiołka (2184);49 25 52;21 41 05;465.0
160;249210250;JAŚLISKA;Jasiołka (2184);49 26 24;21 48 36;440
161;249210260;TYLICZ;Poprad (2142);49 23 32;21 00 32;585.0
162;249210270;WISŁOK WIELKI;Wisłok (226);49 22 43;21 59 57;540.0
163;249210280;Kunkowa;Przysłopianka (218232);49 33 00;21 07 29;413.0
164;249210340;Krempna;Wisłoka (218);49 30 59;21 29 03;380.0
165;249210350;Moszczaniec;Wisłok (226);49 25 20;21 54 46;467.0
166;249210370;Ropica Górna;Sękówka (21826);49 35 46;21 13 53;357.0
167;249210390;Uście Gorlickie;Ropa (2182);49 31 37;21 07 55;398.0
168;249210420;Smerekowiec;Zdynia (218234);49 30 19;21 14 02;451.0
169;249220010;KAŃCZUGA;Mleczka (2268);49 59 07;22 24 26;215.0
170;249220040;DYNÓW;San (22);49 50 07;22 14 06;249
171;249220060;BIRCZA;San (22);49 41 14;22 28 52;324.0
172;249220070;RYBOTYCZE;Wiar (224);49 39 16;22 38 24;289.0
173;249220080;SANOK-TREPCZA;San (22);49 35 05;22 11 07;307.0
174;249220110;NOWOTANIEC;Pielnica (22618);49 30 28;22 01 31;405.0
175;249220120;LESZCZOWATE;San (22);49 30 26;22 32 52;486.0
176;249220130;Brzegi Dolne;Strwiąż (76);49 26 36;22 37 16;438.0
177;249220140;SZCZAWNE;Osława (222);49 23 56;22 08 49;395.0
178;249220150;SOLINA-JAWOR;San (22);49 24 00;22 28 06;459
179;249220160;TELEŚNICA OSZWAROWA;San (22);49 22 49;22 31 52;449.0
180;249220170;BALIGRÓD-MCHAWA;Hoczewka (2218);49 21 14;22 17 01;430.0
181;249220180;KOMAŃCZA;Osława (222);49 20 21;22 03 48;478.0
182;249220190;SAKOWCZYK;San (22);49 18 53;22 26 51;561.0
183;249220210;TERKA;Solinka (2212);49 17 50;22 25 37;446.0
184;249220220;POLANA;Czarna (22132);49 18 12;22 34 36;458.0
185;249220230;LUTOWISKA;San (22);49 14 35;22 41 00;666.0
186;249220240;ŻUBRACZE;Solinka (22134);49 12 32;22 16 18;623.0
187;249220250;CISNA;Solinka (2212);49 12 46;22 19 52;549
188;249220260;DWERNIK;San (22);49 13 15;22 38 02;543.0
189;249220270;KALNICA;Wetlina (22126);49 11 50;22 25 27;577.0
190;249220280;STUPOSIANY;Wołosaty (22114);49 11 30;22 40 59;547.0
191;249220290;ROZTOKI GÓRNE;Solinka (22134);49 09 12;22 18 52;700.0
192;249220310;WETLINA;Wetlina (221346);49 08 41;22 28 19;708
193;249220320;POŁONINA WETLIŃSKA;Wetlina (221346);49 09 28;22 33 06;1226.0
194;249220330;TARNAWA  NIŻNA;San (22);49 07 29;22 47 29;708.0
195;249220340;WOŁOSATE;Wołosaty (22114);49 03 51;22 41 09;752.0
196;249220350;WYŻNIAŃSKI WIERCH;San (22);49 07 19;22 35 09;913.0
197;249220360;BUKOWIEC ;Solinka (2212);49 18 21;22 24 49;435.0
198;249220370;Zatwarnica;San (22);49 12 57;22 33 08;
199;250140010;Wyszków;Nysa Łużycka (174);50 58 03;14 59 35;330.0
200;250140020;Sieniawka;Nysa Łużycka (174);50 53 37;14 50 07;234.0
201;250140030;Bogatynia;Miedzianka (17416);50 53 59;14 58 50;290.0
202;250150030;Pobiedna;Łużyca (166324);50 57 07;15 18 31;409.0
203;250150050;Pilchowice;Bóbr (16);50 57 46;15 38 24;251.0
204;250150060;Rębiszów;Skitnica (166246);50 57 06;15 26 56;420
205;250150080;Stara Kamienica;Kamienica (1632);50 55 01;15 34 27;374.0
206;250150090;Świeradów-Zdrój;Kwisa (166);50 53 54;15 21 31;510
207;250150110;Kaczorów;Kaczawa (138);50 54 32;15 56 09;491.0
208;250150130;Ciechanowice;Bóbr (16);50 52 02;15 58 38;405
209;250150150;Szklarska Poręba;Kamieńczyk (1622);50 50 04;15 31 45;648.0
210;250150170;Jakuszyce;Kamienna (162);50 49 23;15 26 31;855.0
211;250150180;Jagniątków;Wrzosówka (1628);50 49 12;15 36 43;549.0
212;250150190;Kowary;Jedlica (16188);50 48 13;15 49 27;430
213;250150210;Przesieka;Podgórna (16288);50 47 56;15 40 02;646.0
214;250150220;Karpacz;Skałka (161844);50 46 44;15 46 10;567.0
215;250150240;Paczyn;Bachorzyna (161154);50 44 23;15 54 41;643.0
216;250150250;Paprotki;Bachorzyna (161154);50 43 36;15 56 53;543.0
217;250150260;Bukówka;Bóbr (16);50 42 46;15 57 26;511.0
218;250150340;Borowice;Kacza (162886);50 47 21;15 41 24;660.0
219;250150350;Podgórzyn;Podgórna (16288);50 49 32;15 41 15;385.0
220;250150510;Mirsk;Czarny Potok (16632);50 59 13;15 23 00;338.0
221;250150530;Świeradów-Zdrój II;Kwisa (166);50 54 21;15 19 32;595.0
222;250150540;Czernica;Biały Potok (16344);50 58 28;15 43 03;299.0
223;250150550;Szrenica;Bóbr (16);50 47 27;15 30 44;1327.0
224;250150560;Mała Kopa;Łomniczka (16184);50 44 37;15 43 34;1341.0
225;250150570;Mysłów;Mokrzyna (13812);50 55 57;15 58 59;464.0
226;250150580;Jarkowice;Bóbr (16);50 44 11;15 52 25;650.0
227;250150590;Niedamirów;Bóbr (16);50 41 28;15 52 14;685.0
228;250160010;Strzegom;Strzegomka (1348);50 57 50;16 22 35;211.0
229;250160030;Bolków;Nysa Szalona (1384);50 55 30;16 05 55;310
230;250160060;Sobótka;Czarna Woda (1346);50 54 08;16 45 34;156.0
231;250160070;Borów;Ślęza (1336);50 52 56;16 59 24;145
232;250160090;Pszenno;Piława (1344);50 51 41;16 31 43;223.0
233;250160120;Lubomin;Dopływ z Lubomina (134822);50 48 13;16 11 45;464.0
234;250160130;Szczawno-Zdrój;Szczawnik (134864);50 48 24;16 14 28;431.0
235;250160150;Kamienna Góra;Bóbr (16);50 47 34;16 02 10;464.0
236;250160170;Lubachów;Bystrzyca (134);50 45 50;16 25 43;305
237;250160190;Boguszów-Gorce;Lesk (1616);50 44 58;16 11 24;518.0
238;250160220;Jedlina-Zdrój;Jedlina (13416);50 43 07;16 20 57;436.0
239;250160260;Dzierżoniów;Piława (1344);50 44 36;16 37 27;252.0
240;250160270;Walim;Walimka (13418);50 42 10;16 26 21;489.0
241;250160290;Chełmsko Śląskie;Zadrna (1614);50 40 15;16 04 12;498.0
242;250160310;Mieroszów;Ścinawka (122);50 39 45;16 10 33;493.0
243;250160320;Ostroszowice;Jadkowa (12322);50 38 46;16 37 57;373.0
244;250160350;Srebrna Góra;Budzówka (1232);50 34 38;16 39 53;405.0
245;250160360;Tarnów;Budzówka (1232);50 34 31;16 47 34;296.0
246;250160410;Bardo;Nysa Kłodzka (12);50 30 33;16 44 39;321.0
247;250160450;Kudowa-Zdrój;Klikawa (946);50 26 17;16 13 19;364.0
248;250160480;Słoszów;Wapienny (12182);50 24 36;16 22 46;556.0
249;250160490;Polanica-Zdrój;Bystrzyca Dusznicka (1218);50 25 31;16 31 06;389.0
250;250160510;Ołdrzychowice Kłodzkie;Biała Lądecka (1216);50 21 24;16 44 05;349.0
251;250160520;Lądek-Zdrój;Biała Lądecka (1216);50 20 21;16 51 27;450.0
252;250160530;Zieleniec;Bystrzyca Dusznicka (1218);50 19 48;16 23 39;840.0
253;250160560;Stronie Śląskie;Biała Lądecka (1216);50 18 09;16 51 58;502.0
254;250160580;Spalona;Bystrzyca (1214);50 16 36;16 32 18;815.0
255;250160590;Długopole-Zdrój;Nysa Kłodzka (12);50 14 59;16 38 00;364.0
256;250160610;Bolesławów;Morawka (12162);50 15 17;16 53 27;602.0
257;250160620;Kamienica;Kamienica (121624);50 13 38;16 53 03;682.0
258;250160630;Międzygórze;Wilczka (1212);50 13 07;16 46 25;795.0
259;250160650;Międzylesie;Nysa Kłodzka (12);50 09 12;16 40 15;453.0
260;250160840;Szalejów Górny;Bystrzyca Dusznicka (1218);50 25 50;16 33 09;335.0
261;250160910;SREBRNA GÓRA II;Budzówka (1232);50 34 51;16 40 06;380.0
262;250160920;Piława Górna;Piława (1344);50 41 22;16 43 57;296.0
263;250160930;Karłów;Czerwona Woda (121848);50 28 27;16 20 13;753.0
264;250160940;Nowa Wieś;Nowinka (121146);50 11 52;16 44 42;555.0
265;250160950;Kwietniki;Nysa Mała (13846);50 58 01;16 08 34;256.0
266;250160960;Stary Gierałtów;Biała Lądecka (1216);50 18 36;16 55 03;535.0
267;250160970;Śnieżnik;Wilczka (1212);50 12 30;16 49 57;1218.0
268;250160980;Wolibórz;Ścinawka (122);50 35 26;16 34 41;518.0
269;250161020;ZIELENIEC II;Bystrzyca Dusznicka (1218);50 20 40;16 23 57;721.0
270;250161030;Rzeczka;Walimka (13418);50 40 36;16 26 51;624.0
271;250161040;Złoty Stok;Nysa Kłodzka (12);50 25 47;16 51 02;536.0
272;250161060;Łomnica;Bystrzyca (134);50 40 20;16 19 42;570.0
273;250161070;Jodłów;Nysa Kłodzka (12);50 10 22;16 46 16;828.0
274;250161080;Starkówek;Nysa Kłodzka (12);50 22 24;16 31 05;484.0
275;250161090;Wolbromek;Nysa Szalona (1384);50 55 47;16 07 38;290.0
276;250170110;Dobrogoszcz;Pluskawa (133646);50 45 31;17 01 02;175
277;250170250;Otmuchów;Nysa Kłodzka (12);50 28 20;17 09 59;212.0
278;250170290;Dziewiętlice;Świdna (12548);50 24 41;17 05 03;241.0
279;250170330;Głuchołazy;Biała Głuchołaska (1258);50 18 08;17 23 14;348.0
280;250170340;Jarnołtówek;Złoty Potok (117644);50 17 17;17 26 17;346.0
281;250170390;Głubczyce;Psina (1152);50 10 55;17 47 41;290.0
282;250170770;Unikowice;Nysa Kłodzka (12);50 26 33;17 00 31;248.0
283;250170790;Wojnowice;Troja (11526);50 08 01;17 52 06;283.0
284;250170810;Branice;Opawa (112);50 03 04;17 46 33;290.0
285;250170840;Meszno;Nysa Kłodzka (12);50 25 57;17 08 29;213.0
286;250170850;Kujawy;Osobłoga (1176);50 26 13;17 48 14;180.0
287;250170860;Przylesie;Oława (1334);50 46 56;17 20 59;164.0
288;250170870;Opole-WIK;Odra (1);50 40 52;17 54 04;149.0
289;250170880;Borek Strzeliński;Ślęza (1336);50 52 08;17 05 19;
290;250180110;Dobrodzień;Myślinka (118384);50 43 45;18 25 32;227.0
291;250180190;Krupski Młyn;Mała Panew (118);50 34 09;18 37 24;225.0
292;250180210;Zielona;Mała Panew (118);50 32 57;18 58 05;284.0
293;250180250;Brynica;Brynica (2126);50 28 18;18 59 56;283.0
294;250180270;Świerklaniec;Brynica (2126);50 25 44;18 56 33;285.0
295;250180330;Łabędy;Kłodnica (116);50 20 31;18 36 55;208.0
296;250180380;Sukowice;Cisek (11594);50 15 46;18 10 11;180.0
297;250180450;Zwonowice;Sumina (11568);50 08 34;18 26 16;260.0
298;250180530;Kietrz;Odra (1);50 04 56;18 00 37;220.0
299;250180540;Rydułtowy;Odra (1);50 03 01;18 25 46;295.0
300;250180560;Żory;Ruda (1156);50 03 13;18 41 47;245.0
301;250180580;Droniowice;Liswarta (1816);50 41 43;18 48 29;270.0
302;250180590;RYBNIK-STODOŁY;Ruda (1156);50 09 16;18 28 59;216.0
303;250180640;Zabrze;Kłodnica (116);50 21 54;18 45 13;270.0
304;250180650;Pławniowice;Kłodnica (116);50 22 35;18 28 56;218.0
305;250180660;Ruda Śląska;Kłodnica (116);50 14 49;18 49 12;236.0
306;250180670;Trzebiszyn;Budkowiczanka (1328);50 51 54;18 11 27;196.0
307;250180680;Czerwionka-Leszczyny;Bierawka (1158);50 09 16;18 39 49;246.0
308;250180690;Pilchowice;Bierawka (1158);50 13 27;18 35 31;221.0
309;250180710;Boguszyce;Kłodnica (116);50 26 13;18 30 37;211.0
310;250180720;Modzurów;Odra (1);50 09 38;18 08 20;244.0
311;250180730;Bierawa;Odra (1);50 16 56;18 14 41;178.0
312;250180740;Sierakowice;Odra (1);50 15 56;18 25 53;203.0
313;250180750;Wąsice;Stobrawa (132);50 59 06;18 01 47;169.0
314;250180760;Strzelce Opolskie;Mała Panew (118);50 31 04;18 18 40;229.0
315;250180770;Sieroniowice;Kłodnica (116);50 27 01;18 21 33;263.0
316;250180780;Świerklany;Olza (114);50 00 44;18 35 09;285.0
317;250180790;Sowczyce;Potok Sowczycki (1816364);50 50 53;18 29 11;233.0
318;250190010;Januszewice;Czarna (Włoszczowska) (2542);50 56 31;19 57 40;220.0
319;250190030;Silniczka;Pilica (254);50 55 19;19 45 32;215.0
320;250190080;Wąsosz;Pilica (254);50 44 15;19 41 09;230.0
321;250190140;Żarki;Warta (18);50 38 24;19 22 49;380.0
322;250190150;BONOWICE;Pilica (254);50 37 16;19 47 37;260.0
323;250190160;Lgota Górna;Warta (18);50 36 03;19 14 07;320.0
324;250190170;Kręciwilk;Warta (18);50 32 43;19 22 13;307.0
325;250190180;PIWOŃ;Przemsza (212);50 28 59;19 15 04;295.0
326;250190210;Pilica;Pilica (254);50 27 35;19 38 49;351.0
327;250190220;Łazy;Przemsza (212);50 25 52;19 23 02;350
328;250190260;Golczowice;Biała Przemsza (2128);50 21 36;19 35 45;324.0
329;250190290;OLEWIN;Biała Przemsza (2128);50 16 37;19 36 13;398
330;250190310;Maczki;Biała Przemsza (2128);50 15 31;19 15 46;265.0
331;250190380;Bieruń Stary;Mleczna (21188);50 05 03;19 05 41;255.0
332;250190390;Kraków - Obserwatorium;Wisła (2);50 03 50;19 57 31;204.0
333;250190470;WOLA JUSTOWSKA;Rudawa (2136);50 03 50;19 53 25;204.0
334;250190510;Piwoń;Przemsza (212);50 29 04;19 14 42;300.0
335;250190520;TYCHY;Gostynia (2118);50 07 55;19 00 04;255.0
336;250190530;Katowice Pyrzowice;Brynica (2126);50 28 38;19 05 42;301.0
337;250190780;Będkowice;Rudawa (2136);50 10 45;19 46 10;434.0
338;250190790;Chrzanów;Wisła (2);50 06 45;19 22 36;252.0
339;250190810;Lubsza;Mała Panew (118);50 36 35;19 00 15;335.0
340;250190820;Dąbrowa Górnicza;Przemsza (212);50 24 08;19 15 52;321.0
341;250190830;Mysłów;Dopływ spod Mysłowa (1811342);50 34 22;19 12 54;322.0
342;250190840;Rokitno Szlacheckie;Przemsza (212);50 26 07;19 25 52;343.0
343;250190850;TROKS;Biała Przemsza (2128);50 18 14;19 38 09;411.0
344;250190860;Wywła;Pilica (254);50 36 56;19 55 31;282.0
345;250190880;Sułoszowa;Prądnik (21374);50 15 30;19 44 24;442.0
346;250190920;Koryczany;Pilica (254);50 29 22;19 56 05;323.0
347;250200010;BARTKÓW;Bobrza (216482);50 58 43;20 38 59;330
348;250200040;Bodzentyn;Świślina (2348);50 56 49;20 57 05;270.0
349;250200050;RYKOSZYN;Wierna Rzeka (2162);50 51 56;20 24 42;274.0
350;250200110;CISÓW;Czarna (2178);50 45 31;20 54 10;326.0
351;250200130;KLISZÓW;Nida (216);50 36 45;20 31 29;206.0
352;250200210;MIECHÓW;Szreniawa (21392);50 21 46;20 01 58;299.0
353;250200220;SIELEC;Nidzica (21398);50 19 07;20 25 14;200
354;250200230;BORUSOWA;Wisła (2);50 16 40;20 47 13;171.0
