vertex_id,x,y,x_astar,y_astar
167,473246.33,572066.27,12169.191342857144,14710.275514285717
168,473488.65,572950.73,12175.42242857143,14733.018771428573
169,472204.5,576754.5,12142.40142857143,14830.830000000002
170,472140.3,576741.16,12140.750571428573,14830.486971428574
171,468480.27,573389.38,12046.635514285716,14744.298342857144
172,468616.44,573305.61,12050.13702857143,14742.144257142858
173,477059.87,574065.73,12267.2538,14761.690200000001
174,477062.77,574088.32,12267.328371428574,14762.271085714285
175,475110.3,573016.59,12217.122000000001,14734.712314285714
176,475075.67,573051.4,12216.231514285715,14735.607428571431
177,474073.92,572423.07,12190.472228571429,14719.450371428571
178,474087.56,572424.65,12190.822971428572,14719.491000000002
179,473723.35,569926.55,12181.457571428571,14655.254142857146
180,473755.64,569926.63,12182.287885714288,14655.256200000002
181,473603.34,574625.95,12178.371600000002,14776.095857142856
182,473632.36,574661.17,12179.117828571429,14777.001514285717
183,473553.3,572893.56,12177.084857142858,14731.548685714288
184,473551.95,572924.18,12177.050142857144,14732.33605714286
185,473563.98,572215.99,12177.359485714287,14714.125457142858
186,473493.88,572190.83,12175.556914285715,14713.478485714286
187,473617.56,574622.71,12178.737257142859,14776.012542857143
188,473611.53,574505.07,12178.582200000003,14772.987514285714
189,473628.69,574600.03,12179.023457142857,14775.429342857145
190,473708.11,572702.49,12181.065685714286,14726.635457142858
191,473739.46,572662.28,12181.87182857143,14725.601485714287
192,473906.99,572704.77,12186.179742857144,14726.694085714287
193,473921.05,572689.99,12186.541285714286,14726.314028571429
194,473839.06,575252.32,12184.432971428572,14792.202514285715
195,473846.39,575323.59,12184.621457142859,14794.035171428572
196,473730.76,573533.25,12181.648114285716,14747.997857142858
197,473733.83,573442.2,12181.727057142858,14745.656571428572
198,473815.57,575199.16,12183.828942857144,14790.835542857145
199,473743.54,575467.96,12181.976742857143,14797.747542857143
200,473860.3,572824.32,12184.979142857144,14729.768228571429
201,473886.05,572789.28,12185.641285714286,14728.867200000002
202,474010.78,573464.48,12188.84862857143,14746.229485714286
203,474013.71,573442.89,12188.923971428572,14745.674314285716
204,473930.66,572679.91,12186.7884,14726.05482857143
205,473986.65,572691.88,12188.228142857144,14726.362628571429
206,474006.18,572709.79,12188.730342857143,14726.823171428574
207,474024.09,570790.77,12189.190885714288,14677.476942857145
208,474032.07,570743.85,12189.396085714287,14676.27042857143
209,474077.52,572281.87,12190.564800000002,14715.819514285715
210,474071.09,572282.64,12190.39945714286,14715.839314285717
211,474594.71,570646.8,12203.863971428573,14673.77485714286
212,474551.18,570634.45,12202.744628571429,14673.457285714285
213,474284.46,572515.18,12195.886114285715,14721.818914285717
214,474286.21,572496.9,12195.931114285715,14721.348857142859
215,474090.68,572134.31,12190.9032,14712.025114285718
216,474177.9,572122.16,12193.146000000002,14711.712685714288
217,474077.03,572335.68,12190.552200000002,14717.203200000002
218,474109.5,572339.44,12191.387142857144,14717.299885714285
219,474117.38,572245.32,12191.589771428573,14714.879657142857
220,474104.64,572249.13,12191.262171428572,14714.97762857143
221,474282.08,572548.62,12195.824914285715,14722.678800000002
222,474275.8,572495.73,12195.66342857143,14721.318771428572
223,474304.88,572829.78,12196.4112,14729.908628571431
224,474299.3,572851.67,12196.267714285716,14730.471514285717
225,474376.81,573485.5,12198.260828571429,14746.77
226,474389.89,573392.81,12198.597171428573,14744.386542857146
227,474426.38,573492.88,12199.535485714287,14746.959771428572
228,474439.47,573399.35,12199.872085714285,14744.554714285714
229,474817.95,575104.39,12209.60442857143,14788.398600000002
230,474820.21,575091.69,12209.662542857144,14788.072028571429
231,474669.53,570737.87,12205.787914285716,14676.116657142858
232,474832.95,570737.86,12209.990142857145,14676.1164
233,474483.47,570612.24,12201.003514285714,14672.886171428572
234,474728.02,572168.4,12207.291942857144,14712.901714285716
235,474588.89,572135.76,12203.714314285715,14712.0624
236,474813.2,570792.04,12209.482285714286,14677.509600000003
237,474674.19,573008.72,12205.907742857144,14734.509942857143
238,474678.7,572929.17,12206.023714285715,14732.464371428574
239,474973.55,573239.26,12213.605571428572,14740.438114285716
240,474997.49,573196.25,12214.221171428571,14739.332142857143
241,474996.84,573175.53,12214.20445714286,14738.799342857144
242,475141.34,573262.65,12217.920171428574,14741.039571428573
243,475118.24,573268.73,12217.326171428573,14741.195914285716
244,475026.05,573335.23,12214.955571428573,14742.905914285715
245,475717.23,574600.49,12232.728771428572,14775.441171428572
246,475175.98,573390.64,12218.810914285716,14744.330742857144
247,475193.14,573385.35,12219.252171428572,14744.194714285715
248,475097.57,573382.91,12216.794657142858,14744.131971428573
249,475110.49,573364.36,12217.126885714286,14743.654971428572
250,475112.06,573325.1,12217.167257142859,14742.64542857143
251,475124.51,573277.95,12217.487400000002,14741.433
252,475077.61,572261.97,12216.2814,14715.3078
253,475122.17,572286.24,12217.427228571429,14715.931885714286
254,475163.52,573294.8,12218.490514285715,14741.866285714288
255,475090.85,573342.37,12216.621857142858,14743.089514285715
256,475113.34,573387.01,12217.200171428573,14744.237400000002
257,475121.66,573368.28,12217.414114285715,14743.755771428574
258,475152.08,573329.07,12218.196342857143,14742.747514285715
259,475155.13,573390.73,12218.274771428572,14744.333057142858
260,475461.29,573465.12,12226.147457142857,14746.245942857144
261,475466.33,573471.14,12226.27705714286,14746.400742857144
262,475207.28,573006.78,12219.615771428573,14734.460057142858
263,475250.73,573012.0,12220.733057142857,14734.594285714287
264,475222.11,573380.74,12219.997114285716,14744.076171428573
265,475209.52,573392.47,12219.673371428573,14744.3778
266,475352.42,569799.45,12223.347942857143,14651.985857142858
267,475354.54,569868.3,12223.402457142858,14653.756285714288
268,475626.04,569868.05,12230.383885714285,14653.749857142859
269,475692.75,569891.99,12232.099285714286,14654.365457142858
270,475461.19,573497.54,12226.144885714286,14747.079600000003
271,475447.85,573511.48,12225.801857142858,14747.438057142857
272,475707.05,569885.82,12232.467,14654.2068
273,475637.77,573895.23,12230.685514285717,14757.305914285715
274,475661.55,573914.13,12231.297,14757.791914285715
275,476545.78,573298.13,12254.034342857145,14741.951914285715
276,476541.8,573348.95,12253.932,14743.258714285714
277,476057.4,573937.33,12241.476000000002,14758.388485714286
278,476070.63,574046.71,12241.816200000001,14761.201114285714
279,475993.2,573837.05,12239.825142857144,14755.80985714286
280,476022.96,573796.91,12240.590400000001,14754.777685714287
281,476039.16,573774.76,12241.006971428571,14754.208114285715
282,476123.32,573657.97,12243.171085714286,14751.204942857143
283,476160.3,573536.66,12244.122000000001,14748.085542857145
284,476086.77,573530.81,12242.23122857143,14747.935114285718
285,476228.36,573096.54,12245.872114285716,14736.768171428574
286,476167.44,573113.2,12244.305600000002,14737.19657142857
287,476586.25,570117.96,12255.075,14660.176114285714
288,476729.45,573778.92,12258.757285714288,14754.315085714288
289,476787.64,573689.36,12260.253600000002,14752.012114285715
290,476577.35,570036.28,12254.846142857143,14658.075771428574
291,476626.07,570031.41,12256.098942857145,14657.950542857145
292,476627.82,570112.09,12256.143942857145,14660.025171428571
293,476803.06,573809.96,12260.650114285716,14755.113257142857
294,476721.73,573806.36,12258.558771428572,14755.020685714286
295,476802.24,573833.02,12260.62902857143,14755.706228571431
296,476799.51,573623.68,12260.55882857143,14750.323200000003
297,476827.69,573811.05,12261.283457142858,14755.141285714288
298,476965.52,574681.4,12264.827657142858,14777.521714285716
299,476993.58,574690.81,12265.549200000001,14777.763685714288
300,467656.09,572286.21,12025.442314285716,14715.931114285715
301,467862.4,572335.87,12030.74742857143,14717.208085714286
302,465127.91,572067.21,11960.431971428572,14710.299685714286
303,464604.3,572307.66,11946.967714285714,14716.482685714287
304,479024.98,573392.23,12317.7852,14744.371628571429
305,479036.67,573354.51,12318.0858,14743.401685714287
306,478447.81,573569.86,12302.943685714286,14748.939257142858
307,478434.6,573617.83,12302.604000000001,14750.172771428572
308,478040.1,573040.52,12292.459714285715,14735.32765714286
309,478010.89,573019.95,12291.708600000002,14734.798714285715
310,477866.27,574208.42,12287.989800000001,14765.359371428574
311,477933.4,574207.09,12289.716000000002,14765.325171428573
312,478028.88,573080.97,12292.1712,14736.3678
313,478011.11,573072.74,12291.714257142858,14736.156171428573
314,478432.0,573951.45,12302.537142857143,14758.751571428571
315,478428.77,573931.59,12302.454085714287,14758.240885714285
316,478691.78,573296.38,12309.217200000001,14741.906914285715
317,478629.56,573277.63,12307.617257142858,14741.424771428572
318,478456.96,573626.23,12303.178971428573,14750.388771428572
319,478519.9,573646.44,12304.79742857143,14750.908457142858
320,478872.33,568453.93,12313.859914285717,14617.386771428573
321,478844.8,568381.84,12313.152,14615.533028571428
322,478987.39,573622.67,12316.8186,14750.297228571431
323,478947.94,573659.27,12315.804171428572,14751.238371428573
324,470483.53,567387.58,12098.147914285715,14589.966342857142
325,470618.9,567504.48,12101.62885714286,14592.972342857143
